model,train_rows,train_rows_pct_of_full_train,roc_auc,average_precision,train_seconds,test_inference_seconds
Random Forest (Step 7 headline),3328807,100.0,0.9704471015873685,0.7011235367097762,225.35,1.889
"MaxEnt (elapid, Biswas et al. 2025 comparison)",150000,4.51,0.95978236387969,0.6274243011452088,1826.51,38.327
