experiment,tag,population,model,features,label,split,fold,region,n,n_pos,prevalence,roc_auc,ap,auc_ci95,ap_ci95,brier,ece,logloss,thr_valmaxF1,precision,recall_sensitivity,specificity,f1,train_rows,fit_sec,date
trackA,RF_biswas15,all,RF,biswas15,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9703848581014018,0.6919155685194487,"[0.9699778827236333, 0.9707390834100971]","[0.6888477361147449, 0.695742335288376]",0.05287195654324039,0.06863350726787663,0.16388133092646257,0.7926216063239486,0.6057250483040802,0.6949443016281063,0.9688068421214893,0.6472746831379966,2704498.0,103.03944993019104,2026-09-24T19:17:03
trackA,RF_biswas15,forest,RF,biswas15,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8847624426846665,0.698030761632246,"[0.8833436561321024, 0.8859982968308984]","[0.6947689693850644, 0.7013431823521988]",0.17675671880926816,0.2088776583277807,0.5319056521416251,0.7926216063239486,0.6101233880085863,0.6962098689254128,0.8716514365242909,0.6503301079400565,2704498.0,103.03944993019104,2026-09-24T19:17:03
trackA,RF_cdr7static,all,RF,cdr7_static_1km,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9576357866450098,0.5467049099610621,"[0.9572814526633141, 0.9580778863691307]","[0.5430055224705963, 0.5508580034548317]",0.07039424432889244,0.08253914526154801,0.2076922404849356,0.774901550905406,0.46872267029443204,0.7188443053537499,0.9438142926142494,0.5674435703257114,2704498.0,82.38807582855225,2026-09-24T19:20:20
trackA,RF_cdr7static,forest,RF,cdr7_static_1km,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8261018881754104,0.5478792336952402,"[0.8243274348094307, 0.8276682078299213]","[0.5446163507010455, 0.5517610294470994]",0.24420886651670815,0.283916299749002,0.7152478009741643,0.774901550905406,0.46871317678786184,0.7214524784502908,0.764076643398893,0.5682474226804124,2704498.0,82.38807582855225,2026-09-24T19:20:20
trackA,RF_v2_minus_landcover,all,RF,v2_minus_landcover,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9717121959628932,0.6982573948609476,"[0.9713354629463091, 0.9720830835999279]","[0.6953052070474544, 0.7017618732856203]",0.05162362418391088,0.06620806933881701,0.16067922519525699,0.7545492311590195,0.5802728074870178,0.7472895942774114,0.9627256985479247,0.6532752513943737,2704498.0,149.159601688385,2026-09-24T19:23:39
trackA,RF_v2_minus_landcover,forest,RF,v2_minus_landcover,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8893257222500615,0.7042238435631463,"[0.8879959767978547, 0.8905805001619042]","[0.7005120580653316, 0.7079454307483377]",0.17314374895257703,0.20382729400944583,0.5246660566681831,0.7545492311590195,0.5847304164962907,0.7486771002786036,0.8466053145464942,0.6566248759808785,2704498.0,149.159601688385,2026-09-24T19:23:39
trackA,RF_v2_minus_trends,all,RF,v2_minus_trends,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9736256653329022,0.7073457780254773,"[0.9732474804974987, 0.9738958511410069]","[0.7040361166097583, 0.7106393149872446]",0.053661233593090725,0.06715809031562703,0.16132501484919967,0.7971045878132571,0.5955145441212417,0.7261279386013934,0.9659897851175122,0.6543672044184056,2704498.0,131.53217673301697,2026-09-24T19:26:39
trackA,RF_v2_minus_trends,forest,RF,v2_minus_trends,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8914622803941674,0.7085677435966471,"[0.8901164236433363, 0.8928500699235584]","[0.7054380768663617, 0.7117571042593742]",0.18613426724547763,0.23042513587929803,0.5556661398282927,0.7971045878132571,0.5954029312426451,0.7284643144294235,0.8571890947145832,0.6552466488386565,2704498.0,131.53217673301697,2026-09-24T19:26:39
trackA,RF_v2_minus_terrain,all,RF,v2_minus_terrain,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.975076414408966,0.7223579169332457,"[0.9747509812411069, 0.9753647297683581]","[0.7186120962712028, 0.7253282086385003]",0.050803479559723856,0.06350216876604577,0.15405522891778778,0.8075979777752806,0.6259282939064574,0.711243992399687,0.9706887338272925,0.6658644413634343,2704498.0,151.37946391105652,2026-09-24T19:29:58
trackA,RF_v2_minus_terrain,forest,RF,v2_minus_terrain,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8976858307471092,0.723583636144501,"[0.8963456848701085, 0.898858619404102]","[0.7205015162668978, 0.7261731322049716]",0.17618316380257915,0.21770551765947074,0.5303402351495007,0.8075979777752806,0.625801689493972,0.7133748434023298,0.8769379322249674,0.6667249183020812,2704498.0,151.37946391105652,2026-09-24T19:29:58
trackA,RF_v2_label_conf30,all,RF,v2_57,y_conf_ge30,v2 random 65/15/20 stratified rs42,,,832154,52308,0.06285855743047561,0.9747192936117234,0.7131135608238375,"[0.9744412809391955, 0.9750974551943492]","[0.7097016500334935, 0.7170888552819177]",0.051115178307873196,0.06421303241090244,0.15446863523515086,0.7998562422867248,0.61102344271096,0.7180354821442226,0.9693401004813771,0.6602213101066121,2704498.0,157.20149540901184,2026-09-24T19:33:23
trackA,RF_v2_label_conf30,forest,RF,v2_57,y_conf_ge30,v2 random 65/15/20 stratified rs42,,,238859,52110,0.21816217936104565,0.8966032319639378,0.714327842647306,"[0.8953175376690682, 0.8978214625843144]","[0.711030791559243, 0.7173533926574668]",0.17729753266042708,0.22021645383358066,0.5319579279340971,0.7998562422867248,0.6109112807408733,0.7203032047591633,0.8719886050259975,0.6611126278060078,2704498.0,157.20149540901184,2026-09-24T19:33:23
trackA,RF_v2_label_type0,all,RF,v2_57,y_type0,v2 random 65/15/20 stratified rs42,,,832154,53652,0.06447364309971472,0.975039999892929,0.7204721275034106,"[0.974733624138719, 0.9753814332480766]","[0.7165685616013543, 0.7238639481123477]",0.051149694686617224,0.06401923927522346,0.154812767262195,0.8005099687409285,0.616095972034639,0.722694400954298,0.9689647553891961,0.66515134620498,2704498.0,159.3782229423523,2026-09-24T19:36:50
trackA,RF_v2_label_type0,forest,RF,v2_57,y_type0,v2 random 65/15/20 stratified rs42,,,238859,53451,0.2237763701598014,0.8973138267973337,0.7216644687575585,"[0.8957793403018741, 0.8987042637360523]","[0.7179553054691333, 0.7248992164552508]",0.17740489906039603,0.2194443683469103,0.5331201667445638,0.8005099687409285,0.6159764724584691,0.7249256328225852,0.869708966171902,0.6660249578878613,2704498.0,159.3782229423523,2026-09-24T19:36:50
trackA,RF_v2_label_conf30_type0,all,RF,v2_57,y_conf_ge30_type0,v2 random 65/15/20 stratified rs42,,,832154,52279,0.06282370811171971,0.9747002245749032,0.7128014040249465,"[0.9744009074571449, 0.9750428511313752]","[0.7099532026939533, 0.7163272867098127]",0.051426763594534346,0.06458979700202266,0.1552754175463486,0.7923800008162243,0.600822785807733,0.7291264178733334,0.967526847251162,0.6587857105822575,2704498.0,156.30310654640198,2026-09-24T19:40:15
trackA,RF_v2_label_conf30_type0,forest,RF,v2_57,y_conf_ge30_type0,v2 random 65/15/20 stratified rs42,,,238859,52081,0.2180407688217735,0.8965277297872495,0.7140177329011774,"[0.895237188127704, 0.8977483677272446]","[0.7109431018252914, 0.7179197977336826]",0.17838313523043253,0.22159460440357634,0.5348401131690901,0.7923800008162243,0.6007127875987573,0.7314183675428659,0.8644379959095825,0.6596533153237398,2704498.0,156.30310654640198,2026-09-24T19:40:15
trackA,MaxEnt_v2,all,MX_HIST,v2_57,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.967017946040157,0.6625503491169731,"[0.9666025813957101, 0.9674005203007248]","[0.660233736452403, 0.6666484180304835]",0.0357165094556185,0.01533836597348709,0.12532003115511184,0.4038166141594991,0.5654930444417088,0.6845497559703438,0.9637289459351139,0.6193517941112029,150000.0,1680.9342260360718,2026-09-24T20:10:08
trackA,MaxEnt_v2,forest,MX_HIST,v2_57,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8657422142808162,0.6642872168342202,"[0.8639243064528571, 0.8671954376320462]","[0.660533374391787, 0.668814023686856]",0.12359316610370555,0.053753044690728016,0.43096100501552465,0.4038166141594991,0.5656551660431389,0.6869916418915128,0.8478136564209345,0.6204468311464614,150000.0,1680.9342260360718,2026-09-24T20:10:08
trackA,MaxEnt_biswas15_LQHP,all,MX_BISWAS,biswas15,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9450862820991363,0.5628989688196737,"[0.9443370710182591, 0.9459445799318726]","[0.5593367206723515, 0.5666928858309487]",0.04966845628537758,0.04878997880600923,0.17351868654282365,0.5197286736091427,0.4864150529977267,0.6616556760180321,0.9518248568991563,0.5606610683167066,150000.0,1315.0233807563782,2026-09-24T21:27:43
trackA,MaxEnt_biswas15_LQHP,forest,MX_BISWAS,biswas15,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8177907858472835,0.5767986518639848,"[0.8159552676576113, 0.8195245731379133]","[0.5734713882295736, 0.58110160505026]",0.16545175601063558,0.132820131673838,0.5482124992556298,0.5196726333997576,0.4933741648106904,0.6627400385183523,0.8036660229369181,0.5656514071863454,150000.0,1315.0233807563782,2026-09-24T21:27:43
trackA,MaxEnt_v1_corrlabel,all,MX_HIST,v1_57,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9673708778498573,0.6609482887756707,"[0.9669821850392919, 0.9677864032531134]","[0.657441627672112, 0.664638154743922]",0.03580453117859785,0.015850820704789492,0.12444237687528674,0.3979196557125134,0.5593296558340328,0.6950933273723036,0.9622362782476441,0.6198647773144841,150000.0,1875.6835062503815,2026-09-24T22:05:28
trackA,MaxEnt_v1_corrlabel,forest,MX_HIST,v1_57,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8657837422877185,0.6621170077057018,"[0.8641343544991626, 0.8675198027532531]","[0.6580394994428095, 0.6655236440543009]",0.12405892443271,0.05593089089878517,0.4292924278211693,0.3979196557125134,0.5591826937501875,0.6969577980965203,0.8414914391135949,0.6205145706223625,150000.0,1875.6835062503815,2026-09-24T22:05:28
trackA,RF_v2_lst005,all,RF,v2_57_lst005,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9750441017471871,0.7210777034340355,"[0.9747224495104695, 0.9753047277899327]","[0.7178045369686445, 0.7241834934231299]",0.05118202151222464,0.06420914727336922,0.15495396559776498,0.7694665052401742,0.5909740240809306,0.7552252151559182,0.9639550298533538,0.6630793889633967,2704498.0,143.99174857139587,2026-09-24T22:08:31
trackA,RF_v2_lst005,forest,RF,v2_57_lst005,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8972891665003189,0.722286013268027,"[0.8958150169137012, 0.8985591189345727]","[0.7193242574806676, 0.7248580319968091]",0.17750812397232277,0.22006359718979748,0.5335229925167935,0.7694665052401742,0.5908176063938395,0.7574652680391167,0.8486551802263483,0.6638426180078167,2704498.0,143.99174857139587,2026-09-24T22:08:31
trackA,RF_v2_slopezt,all,RF,v2_57_slopezt,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.974977601402717,0.7207281816208368,"[0.9746475639397675, 0.9752732488627222]","[0.7171189595469339, 0.7239939957707586]",0.051216555436447285,0.06408021410721683,0.15502709354116287,0.7964994693006388,0.6115434602195324,0.7275250549532432,0.9681324440699216,0.6645114636947551,2704498.0,146.2971169948578,2026-09-24T22:11:36
