year,month,ndvi_mean,lst_day_mean,lst_night_mean,dtr_mean,lst_day_anom_mean,lst_night_anom_mean,dtr_anom_mean,fire_detections,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean
2002,3,0.3684709966182709,34.370605,16.372261,17.998114,1.1023783683776855,-0.2766385972499847,1.379148006439209,1331,4.194195,16.144224,0.021699227,30.616865,296.6801,0.006007661,-117.00753,18.61322,560.5111,-0.064855725,-4.884731,-4.60974,-0.00063316553,0.55897236,-6.285034,-0.69511074
2002,4,0.3152770698070526,38.029156,19.800648,18.247252,0.6246280670166016,-0.1864863485097885,0.8147493004798889,877,4.6451344,33.558147,0.046608545,31.306652,300.63824,0.0074254195,-120.16008,19.78433,556.15643,0.16367854,-3.1960785,-3.849695,-0.0007270727,0.6080574,-7.899153,-0.66745985
2002,5,0.30386921763420105,37.392643,22.21567,15.196464,-0.2666698396205902,0.2054643630981445,-0.4713383316993713,728,5.754417,62.80853,0.08442006,38.05299,302.63635,0.010304239,-109.686,20.981476,563.2893,0.6719036,1.0721598,-2.161162,-0.00017297678,0.6490181,-5.6547103,-0.8453855
2002,6,0.3487628102302551,35.72051,21.954355,13.805993,-0.2204579561948776,-0.291996031999588,0.1075029447674751,48,5.3614883,150.94173,0.20964126,54.360973,301.19772,0.01395873,-80.45773,27.27727,597.25946,-0.17397715,-8.532078,-1.6717767,-0.00017606569,0.31723097,-3.3781412,-0.10082071
2002,7,0.4011165499687195,32.6482,20.698902,12.166572,0.6836464405059814,-0.1362989842891693,0.7049815654754639,16,6.2952304,136.19891,0.18306307,60.72501,300.1979,0.014722776,-70.996864,27.661467,642.9371,0.62135184,-138.70503,-10.907454,-0.0017030649,1.2901312,-14.3448305,-5.917707
2002,8,0.513814389705658,30.323017,20.343414,10.427039,0.6683241724967957,-0.1512219905853271,0.8272935748100281,14,5.463445,247.1987,0.3322563,71.19572,298.49158,0.0157977,-55.592506,33.153847,699.93713,0.2627701,-8.941539,-4.729674,-0.0008365982,0.4115017,-4.4321733,-2.8462222
2002,9,0.531609296798706,31.231178,19.855253,11.384615,1.1465425491333008,-0.4576918482780456,1.5934518575668335,8,4.4830823,124.223946,0.17253324,66.80902,297.34518,0.014044879,-65.45785,32.326397,721.1374,0.21217608,-56.042595,-5.3618093,-0.0012819434,-0.08352299,-9.184672,-3.3831396
2002,10,0.48666420578956604,30.640478,17.207329,13.385911,0.9548659920692444,0.069706417620182,0.8927519917488098,69,3.5018628,70.76178,0.095109925,52.685295,296.5017,0.010502706,-82.83225,28.361391,682.1022,0.013594065,-8.750547,-6.6901903,-0.00111816,0.54241,-9.279582,-3.6730986
2002,11,0.4428769052028656,28.148499,13.500275,14.647765,1.2369163036346436,-0.3179950416088104,1.5537338256835938,173,3.623603,20.404652,0.02833979,42.623547,293.64764,0.0073045692,-93.52455,24.322807,644.8841,-0.010709669,-4.5026565,-9.461246,-0.0012859502,0.7490482,-8.054744,-2.485883
2002,12,0.4127937853336334,24.733513,10.84588,13.870216,1.4129799604415894,0.3627746701240539,1.0498921871185305,354,3.7449849,4.89209,0.006575389,39.2993,291.0991,0.005726297,-99.16562,20.342978,604.36975,-0.12919661,-4.6115365,-7.861884,-0.00084891875,1.0832534,-6.498539,-2.1792262
2003,1,0.39985382556915283,23.630453,9.821151,13.790086,1.0865386724472046,0.1004428938031196,0.985569953918457,1361,4.0170913,9.238904,0.012417882,37.444004,289.64606,0.005215335,-101.71151,19.074095,577.6284,-0.00074944046,-3.2955272,-6.2344112,-0.0005169738,0.5397865,-5.1959743,-1.6510236
2003,2,0.37307462096214294,27.116041,12.781274,14.276464,0.1727477610111236,0.2652772068977356,-0.092844009399414,1527,4.25604,21.159525,0.031487387,44.082756,291.98514,0.0068557733,-98.154785,20.155294,562.37787,0.041344203,5.7236633,4.742297,0.00093085895,0.054423675,4.9477673,0.07302401
2003,3,0.34529152512550354,32.528294,16.180365,16.339859,-0.7484373450279236,-0.4688205420970917,-0.2794854044914245,10092,4.3437195,21.865995,0.02938978,35.813488,295.60516,0.0065338355,-112.37721,19.331362,551.8577,0.084669285,0.8370399,0.5868843,-0.000106990985,-0.5159885,-1.6547242,0.023030376
2003,4,0.3130127489566803,38.212727,20.404638,17.83374,0.8107448220252991,0.4132178127765655,0.4024825394153595,6365,4.562748,32.829872,0.04559705,33.59964,300.53384,0.00798214,-116.00544,19.912132,548.82745,0.08129174,-3.9243534,-1.5567067,-0.00017035127,0.50366247,-3.7445207,-0.53965926
2003,5,0.28596651554107666,37.870853,21.146904,16.705828,0.1922963708639145,-0.8647621273994446,1.0570930242538452,1971,5.397861,39.145996,0.052615587,33.956642,302.01395,0.008703289,-116.69345,20.287693,553.76215,0.3153477,-22.590372,-6.2575097,-0.0017739257,0.026617471,-12.662172,-1.5391712
